# Frequncy nu in Hz, Model flux in nu F_nu in ergs / cm^2 / s
# nu                  sync                sync_radio          sync_wind           dust                ic_total            ic_sync             ic_dust             ic_cmb              
         1.58980e+13         3.48196e-09         1.33878e-09         2.14317e-09         1.93610e-09         1.58980e-27         1.58980e-27         1.58980e-27         1.58980e-27
         2.23354e+13         4.09269e-09         9.25638e-10         3.16705e-09         3.27404e-10         2.23354e-27         2.23354e-27         2.23354e-27         2.23354e-27
         3.13794e+13         5.11552e-09         5.16789e-10         4.59874e-09         1.55526e-11         3.13794e-27         3.13794e-27         3.13794e-27         3.13794e-27
         4.40855e+13         6.75234e-09         2.23911e-10         6.52842e-09         1.24041e-13         4.40855e-27         4.40855e-27         4.40855e-27         4.40855e-27
         6.19364e+13         9.03368e-09         5.17927e-11         8.98189e-09         8.06432e-17         6.19364e-27         6.19364e-27         6.19364e-27         6.19364e-27
         8.70156e+13         1.19282e-08         9.47282e-12         1.19187e-08         1.54864e-21         8.70156e-27         8.70156e-27         8.70156e-27         8.70156e-27
         1.22250e+14         1.51538e-08         3.86850e-13         1.51534e-08         2.11030e-28         1.22250e-26         1.22250e-26         1.22250e-26         1.22250e-26
         1.71751e+14         1.83275e-08         7.22031e-15         1.83275e-08         2.75159e-38         1.71751e-26         1.71751e-26         1.71751e-26         1.71751e-26
         2.41296e+14         2.10226e-08         1.41095e-17         2.10226e-08         2.05664e-52         2.41296e-26         2.41296e-26         2.41296e-26         2.41296e-26
         3.39001e+14         2.30295e-08         1.87299e-21         2.30295e-08         1.68866e-72         3.39001e-26         3.39001e-26         3.39001e-26         3.39001e-26
         4.76269e+14         2.42022e-08         1.12845e-26         2.42022e-08        5.88502e-101         4.76269e-26         4.76269e-26         4.76269e-26         4.76269e-26
         6.69119e+14         2.45314e-08         4.95703e-35         2.45314e-08        3.54595e-141         6.69119e-26         6.69119e-26         6.69119e-26         6.69119e-26
         9.40057e+14         2.44128e-08         2.04216e-44         2.44128e-08        6.37910e-198         9.40057e-26         9.40057e-26         9.40057e-26         9.40057e-26
         1.32070e+15         2.40584e-08         1.98713e-44         2.40584e-08        6.97546e-278         1.32070e-25         1.32070e-25         1.32070e-25         1.32070e-25
         1.85548e+15         2.33096e-08         2.78154e-44         2.33096e-08         0.00000e+00         1.85548e-25         1.85548e-25         1.85548e-25         1.85548e-25
         2.60680e+15         2.25326e-08         3.90783e-44         2.25326e-08         0.00000e+00         2.60680e-25         2.60680e-25         2.60680e-25         2.60680e-25
         3.66234e+15         2.18378e-08         5.49018e-44         2.18378e-08         0.00000e+00         3.66234e-25         3.66234e-25         3.66234e-25         3.66234e-25
         5.14528e+15         2.10792e-08         7.71325e-44         2.10792e-08         0.00000e+00         5.14528e-25         5.14528e-25         5.14528e-25         5.14528e-25
         7.22870e+15         2.02431e-08         1.08365e-43         2.02431e-08         0.00000e+00         7.22870e-25         7.22870e-25         7.22870e-25         7.22870e-25
         1.01557e+16         1.95118e-08         1.52244e-43         1.95118e-08         0.00000e+00         1.01557e-24         1.01557e-24         1.01557e-24         1.01557e-24
         1.42680e+16         1.88888e-08         2.13890e-43         1.88888e-08         0.00000e+00         1.42680e-24         1.42680e-24         1.42680e-24         1.42680e-24
         2.00453e+16         1.81175e-08         3.00498e-43         1.81175e-08         0.00000e+00         2.00453e-24         2.00453e-24         2.00453e-24         2.00453e-24
         2.81621e+16         1.74126e-08         4.22175e-43         1.74126e-08         0.00000e+00         2.81621e-24         2.81621e-24         2.81621e-24         2.81621e-24
         3.95654e+16         1.68197e-08         5.93122e-43         1.68197e-08         0.00000e+00         3.95654e-24         3.95654e-24         3.95654e-24         3.95654e-24
         5.55861e+16         1.62196e-08         8.33287e-43         1.62196e-08         0.00000e+00         5.55861e-24         5.55861e-24         5.55861e-24         5.55861e-24
         7.80940e+16         1.55596e-08         1.17070e-42         1.55596e-08         0.00000e+00         7.80940e-24         7.80940e-24         7.80940e-24         7.80940e-24
         1.09716e+17         1.49859e-08         1.64474e-42         1.49859e-08         0.00000e+00         1.09716e-23         1.09716e-23         1.09716e-23         1.09716e-23
         1.54141e+17         1.44998e-08         2.31072e-42         1.44998e-08         0.00000e+00         1.54141e-23         1.54141e-23         1.54141e-23         1.54141e-23
         2.16556e+17         1.39151e-08         3.24638e-42         1.39151e-08         0.00000e+00         2.16556e-23         2.16556e-23         2.16556e-23         2.16556e-23
         3.04244e+17         1.33686e-08         4.56089e-42         1.33686e-08         0.00000e+00         3.04244e-23         3.04244e-23         3.04244e-23         3.04244e-23
         4.27437e+17         1.29077e-08         6.40768e-42         1.29077e-08         0.00000e+00         4.27437e-23         4.27437e-23         4.27437e-23         4.27437e-23
         6.00514e+17         1.24542e-08         9.00226e-42         1.24542e-08         0.00000e+00         6.00514e-23         6.00514e-23         6.00514e-23         6.00514e-23
         8.43674e+17         1.19429e-08         1.26474e-41         1.19429e-08         0.00000e+00         8.43674e-23         8.43674e-23         8.43674e-23         8.43674e-23
         1.18529e+18         1.14961e-08         1.77686e-41         1.14961e-08         0.00000e+00         1.18529e-22         1.18529e-22         1.18529e-22         1.18529e-22
         1.66524e+18         1.11155e-08         2.49635e-41         1.11155e-08         0.00000e+00         1.66524e-22         1.66524e-22         1.66524e-22         1.66524e-22
         2.33952e+18         1.06671e-08         3.50716e-41         1.06671e-08         0.00000e+00         2.33952e-22         2.33952e-22         2.33952e-22         2.33952e-22
         3.28684e+18         1.02338e-08         4.92727e-41         1.02338e-08         0.00000e+00         3.28684e-22         3.28684e-22         3.28684e-22         3.28684e-22
         4.61774e+18         9.86012e-09         6.92242e-41         9.86012e-09         0.00000e+00         4.61774e-22         4.61774e-22         4.61774e-22         4.61774e-22
