# log10(f / Hz) nu L_nu (ergs / s) 	+ d(nu L_nu) 				-d(nu L nu)
16.8609 7.565909272534257993431243663e+36 7.47657218623027205336423894323e+36 7.65605261853219886992464708073e+36
16.9023 7.48129521028338475168512916711e+36 7.39648119375998053652376543688e+36 7.56682359370331694364548009215e+36
16.9437 7.39762743740406219920867056561e+36 7.31724815690291833790088685229e+36 7.47863450672080375307153526352e+36
16.9851 7.314895370979546592430953687e+36 7.23886388501464566946926717785e+36 7.39147323741721802175703330386e+36
17.0265 7.23308854644816328511366882348e+36 7.16131928590331454653353637236e+36 7.30532780688202871252026434026e+36
17.0679 7.15219661627965219562678424323e+36 7.08460536477499788868597743381e+36 7.22018637581538272382416027006e+36
17.1093 7.07220934866633678261394751893e+36 7.00871322319035702268858348629e+36 7.13603724290093205728172900108e+36
17.1507 6.99311662622893117616316203913e+36 6.93363405803245397025468722968e+36 7.0528688431977570546265928197e+36
17.1921 6.91490844473680129218990678612e+36 6.85935916048562351813347109839e+36 6.97066974655084971555282518202e+36
17.2335 6.83757491184261617808518064021e+36 6.78587991502534958269118441083e+36 6.88942865602028814209398556082e+36
17.2749 6.76110624583100825853497948654e+36 6.71318779841881884511012878675e+36 6.80913440632863813703441040557e+36
17.3163 6.68549277438135817949003643072e+36 6.6412743787363275653568987267e+36 6.72977596232645091068286058297e+36
17.3576 6.61072493334436423989905850888e+36 6.57013131437320628689959360876e+36 6.65134241747571640560565992594e+36
17.399 6.53679326553227599086014671606e+36 6.49747197037230084846676265701e+36 6.57612814806559511809660391801e+36
17.4404 6.46368841952274123675070850443e+36 6.42174585971758410297494860314e+36 6.50568294712706803443217539352e+36
17.4818 6.39140114847587920428426744033e+36 6.34690231444536547573399494323e+36 6.43599237356555382864126291104e+36
17.5232 6.31992230896473689817972543575e+36 6.2729310485176375405026092688e+36 6.36704834361564857447527294003e+36
17.5646 6.24924285981873786761662009137e+36 6.19982189577707676787769552229e+36 6.29884286010735438952956986543e+36
17.606 6.17935386098009504927747993296e+36 6.12756480854992667897088659093e+36 6.23136801153843193044801149082e+36
17.6474 6.11024647237298698640175558148e+36 6.05614985626508934144590624045e+36 6.16461597115675958270468531975e+36
17.6888 6.04191195278545964491946389959e+36 5.98556722408932013526251653891e+36 6.09857899605238412700011406657e+36
17.7302 5.97434165876368666267050199967e+36 5.91580721157838293654094396393e+36 6.03324942625944233219827944301e+36
17.7716 5.90752704351874386980356581172e+36 5.8468602313438091808773275352e+36 5.96861968386761936737580119342e+36
17.813 5.84145965584552501340252650899e+36 5.77871680773531275214150053815e+36 5.9046822721431558388994785525e+36
17.8544 5.77613113905376681036650542145e+36 5.711367575538495893946304159e+36 5.84142977465926296212932875383e+36
17.8958 5.71153322991107589470616215256e+36 5.6448032786877918365738800299e+36 5.77885485443584787864260304386e+36
17.9371 5.64765775759766605312587869867e+36 5.57901476899430058719731291782e+36 5.71695025308845231046588137369e+36
17.9785 5.58449664267289665444663481195e+36 5.5139930048885674682456936882e+36 5.65570878998636086942527922456e+36
18.0199 5.52204189605332066673925740598e+36 5.44972905017793605932693871123e+36 5.5951233614196169302749673015e+36
18.0613 5.46028561800215725957135235061e+36 5.38621407281846373679215853645e+36 5.53518693977506884913255870608e+36
18.1027 5.39921999713007093220584691486e+36 5.32343934370103028576429128618e+36 5.47589257272118679706480575779e+36
18.1441 5.33883730940716980397120976939e+36 5.26139623545170156569108843159e+36 5.41723338240163722231577857238e+36
18.1855 5.27912991718594739865991103311e+36 5.20007622124602828909323853316e+36 5.35920256463747445077466002535e+36
18.2269 5.22009026823526532176383155025e+36 5.13947087363719845268579944413e+36 5.30179338813789452717279374096e+36
18.2683 5.16171089478507282820428666458e+36 5.07957186339776775272950146123e+36 5.2449991937194373699185858764e+36
18.3097 5.10398441258183317547033619666e+36 5.0203709583749774293448871622e+36 5.18881339353354456312803438462e+36
18.3511 5.04690351995449738229658377378e+36 4.96186002235937383661707431644e+36 5.13322947030243913898969530928e+36
